batchNum,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
8,0,0,vertical,vertical,null,null,null,2749,null,null,null,null,null,above,IBstimulus_absent,null,null,10876
8,0,1,horizontal,horizontal,null,null,null,2401,null,null,null,null,null,below,IBstimulus_absent,null,null,8300
8,0,2,horizontal,horizontal,null,null,null,1651,null,null,null,null,null,below,IBstimulus_absent,null,null,5084
8,0,3,horizontal,vertical,yes,blue,reportColor,4172,2958,1304,6255,4603,4467,above,IBstimulus_present,blue,right,26548
8,1,0,vertical,vertical,null,null,null,4166.73,null,null,null,null,null,above,IBstimulus_absent,null,null,10409.795
8,1,1,horizontal,horizontal,null,null,null,3823.975,null,null,null,null,null,above,IBstimulus_absent,null,null,8148.475
8,1,2,horizontal,horizontal,null,null,null,2795.555,null,null,null,null,null,below,IBstimulus_absent,null,null,6715.405
8,1,3,horizontal,horizontal,no,blue,reportColor,2463.73,7552.49,12017.58,6451.3,3886.835,4437.695,below,IBstimulus_absent,null,null,41174.535
8,2,0,horizontal,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
8,2,1,horizontal,null,null,null,null,null,null,null,null,null,null,above,IBstimulus_absent,null,null,
8,2,2,vertical,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
8,2,3,vertical,null,null,null,reportColor,null,null,null,null,null,null,above,IBstimulus_absent,null,null,
8,3,0,horizontal,horizontal,null,null,null,2835,null,null,null,null,null,below,IBstimulus_absent,null,null,14966
8,3,1,horizontal,horizontal,null,null,null,3341,null,null,null,null,null,below,IBstimulus_absent,null,null,10470
8,3,2,vertical,vertical,null,null,null,2142,null,null,null,null,null,below,IBstimulus_absent,null,null,5476
8,3,3,horizontal,horizontal,no,blue,reportColor,3606,6195,10294,9614,5145,5673,above,IBstimulus_present,blue,left,43795
8,4,0,vertical,vertical,null,null,null,3428.74,null,null,null,null,null,above,IBstimulus_absent,null,null,12883.305
8,4,1,horizontal,horizontal,null,null,null,2831.13,null,null,null,null,null,above,IBstimulus_absent,null,null,8658.95
8,4,2,vertical,vertical,null,null,null,3126.06,null,null,null,null,null,above,IBstimulus_absent,null,null,7036.385
8,4,3,horizontal,horizontal,yes,blue,reportColor,2477.95,5972.215,3730.94,6527.17,3851.385,5655.055,above,IBstimulus_present,blue,left,34253.285
8,5,0,vertical,vertical,null,null,null,3661,null,null,null,null,null,above,IBstimulus_absent,null,null,11744
8,5,1,horizontal,horizontal,null,null,null,2825,null,null,null,null,null,above,IBstimulus_absent,null,null,9896
8,5,2,horizontal,horizontal,null,null,null,2895,null,null,null,null,null,below,IBstimulus_absent,null,null,6287
8,5,3,horizontal,vertical,no,blue,reportColor,4242,7265,9769,5355,4713,9831,below,IBstimulus_present,blue,right,44401
8,6,0,horizontal,horizontal,null,null,null,7355.325,null,null,null,null,null,below,IBstimulus_absent,null,null,18906.485
8,6,1,vertical,vertical,null,null,null,5058.01,null,null,null,null,null,below,IBstimulus_absent,null,null,12156.145
8,6,2,vertical,horizontal,null,null,null,4961.17,null,null,null,null,null,below,IBstimulus_absent,null,null,10762.66
8,6,3,horizontal,horizontal,no,blue,reportColor,5196.225,7871.02,11365.21,10669.745,7928.515,17438.95,above,IBstimulus_absent,null,null,66887.78
8,7,0,horizontal,horizontal,null,null,null,3010.595,null,null,null,null,null,below,IBstimulus_absent,null,null,9232.67
8,7,1,vertical,vertical,null,null,null,2339.185,null,null,null,null,null,below,IBstimulus_absent,null,null,11324.96
8,7,2,vertical,vertical,null,null,null,2007.005,null,null,null,null,null,below,IBstimulus_absent,null,null,5167.785
8,7,3,horizontal,horizontal,no,blue,reportColor,2805.36,4762.135,7926.445,4932.23,3744.2,4253.27,above,IBstimulus_absent,null,null,31626.37
8,8,0,horizontal,horizontal,null,null,null,3992,null,null,null,null,null,above,IBstimulus_absent,null,null,15243
8,8,1,vertical,vertical,null,null,null,1669,null,null,null,null,null,above,IBstimulus_absent,null,null,6176
8,8,2,horizontal,horizontal,null,null,null,1275,null,null,null,null,null,above,IBstimulus_absent,null,null,4879
8,8,3,vertical,vertical,yes,blue,reportColor,4133,3786,1574,4990,3246,6681,below,IBstimulus_present,blue,right,27744
8,9,0,vertical,vertical,null,null,null,3037,null,null,null,null,null,below,IBstimulus_absent,null,null,11356
8,9,1,horizontal,horizontal,null,null,null,1987,null,null,null,null,null,above,IBstimulus_absent,null,null,5667
8,9,2,vertical,vertical,null,null,null,1794,null,null,null,null,null,below,IBstimulus_absent,null,null,5106
8,9,3,horizontal,horizontal,yes,blue,reportColor,1724,4153,6206,6337,3292,5143,below,IBstimulus_present,blue,left,30454
8,10,0,vertical,vertical,null,null,null,3603.16,null,null,null,null,null,below,IBstimulus_absent,null,null,8982.825
8,10,1,vertical,vertical,null,null,null,2664.775,null,null,null,null,null,below,IBstimulus_absent,null,null,6585.405
8,10,2,vertical,vertical,null,null,null,2112.315,null,null,null,null,null,below,IBstimulus_absent,null,null,5875.495
8,10,3,vertical,vertical,yes,red,reportColor,2329.08,3007.22,2549.885,3857.76,3924.435,4135.31,above,IBstimulus_present,red,left,22930.825
8,11,0,vertical,vertical,null,null,null,2990.815,null,null,null,null,null,below,IBstimulus_absent,null,null,6739.625
8,11,1,vertical,vertical,null,null,null,2815.305,null,null,null,null,null,above,IBstimulus_absent,null,null,6207.36
8,11,2,vertical,vertical,null,null,null,2928.535,null,null,null,null,null,below,IBstimulus_absent,null,null,8859.735
8,11,3,horizontal,horizontal,no,blue,reportColor,3181.445,5464.615,2996.41,6606.435,7431.035,13364.025,above,IBstimulus_present,blue,left,42414.49
8,12,0,vertical,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
8,12,1,horizontal,null,null,null,null,null,null,null,null,null,null,above,IBstimulus_absent,null,null,
8,12,2,horizontal,null,null,null,null,null,null,null,null,null,null,above,IBstimulus_absent,null,null,
8,12,3,horizontal,null,null,null,reportColor,null,null,null,null,null,null,above,IBstimulus_present,red,right,
8,13,0,vertical,horizontal,null,null,null,5004,null,null,null,null,null,above,IBstimulus_absent,null,null,14963
8,13,1,horizontal,horizontal,null,null,null,2283,null,null,null,null,null,below,IBstimulus_absent,null,null,7614
8,13,2,vertical,vertical,null,null,null,3000,null,null,null,null,null,below,IBstimulus_absent,null,null,7135
8,13,3,horizontal,horizontal,no,blue,reportColor,1760,4256,7287,12424,4519,7136,below,IBstimulus_present,red,right,40561
8,14,0,vertical,vertical,null,null,null,5503.42,null,null,null,null,null,above,IBstimulus_absent,null,null,9812.3
8,14,1,horizontal,horizontal,null,null,null,1329.49,null,null,null,null,null,above,IBstimulus_absent,null,null,8244.75
8,14,2,vertical,vertical,null,null,null,1231,null,null,null,null,null,below,IBstimulus_absent,null,null,4594.115
8,14,3,vertical,vertical,no,blue,reportColor,1901.115,5263.76,5847.39,4406.03,2853.185,3344.28,above,IBstimulus_present,blue,left,26924.655
8,15,0,horizontal,horizontal,null,null,null,2156,null,null,null,null,null,above,IBstimulus_absent,null,null,8750
8,15,1,horizontal,vertical,null,null,null,3417,null,null,null,null,null,above,IBstimulus_absent,null,null,7326
