batchNum,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
2,0,0,horizontal,horizontal,null,null,null,3777.815,null,null,null,null,null,below,IBstimulus_absent,null,null,8590.185
2,0,1,vertical,vertical,null,null,null,2742.74,null,null,null,null,null,above,IBstimulus_absent,null,null,6493.055
2,0,2,horizontal,horizontal,null,null,null,2603.485,null,null,null,null,null,below,IBstimulus_absent,null,null,7134.055
2,0,3,vertical,vertical,yes,red,reportColor,3984.4,5388.38,4305.77,25752.67,5377.205,4926.835,below,IBstimulus_present,blue,left,53119.05
2,1,0,horizontal,horizontal,null,null,null,1107,null,null,null,null,null,below,IBstimulus_absent,null,null,5603
2,1,1,horizontal,horizontal,null,null,null,962,null,null,null,null,null,above,IBstimulus_absent,null,null,3732
2,1,2,horizontal,horizontal,null,null,null,1951,null,null,null,null,null,below,IBstimulus_absent,null,null,5919
2,1,3,vertical,vertical,no,blue,reportColor,1216,10196,4487,2046,2616,2367,below,IBstimulus_absent,null,null,36048
2,2,0,vertical,vertical,null,null,null,2267.245,null,null,null,null,null,below,IBstimulus_absent,null,null,6059.45
2,2,1,vertical,vertical,null,null,null,2172.295,null,null,null,null,null,below,IBstimulus_absent,null,null,8415.08
2,2,2,horizontal,horizontal,null,null,null,1795.41,null,null,null,null,null,below,IBstimulus_absent,null,null,5085.415
2,2,3,horizontal,horizontal,yes,blue,reportColor,2301.9,2340.155,3070.71,4208.96,3472.325,3750.485,above,IBstimulus_present,blue,right,22089.915
2,3,0,vertical,vertical,null,null,null,6505.445,null,null,null,null,null,below,IBstimulus_absent,null,null,17727.48
2,3,1,horizontal,horizontal,null,null,null,2987.49,null,null,null,null,null,below,IBstimulus_absent,null,null,6794.11
2,3,2,vertical,vertical,null,null,null,2821.51,null,null,null,null,null,above,IBstimulus_absent,null,null,7165.285
2,3,3,horizontal,vertical,yes,red,reportColor,3630.655,2967.765,3279.475,6695.105,8519.735,4696.2,above,IBstimulus_present,red,right,33744.855
2,4,0,vertical,vertical,null,null,null,3938.71,null,null,null,null,null,below,IBstimulus_absent,null,null,9623.715
2,4,1,vertical,vertical,null,null,null,2613.305,null,null,null,null,null,above,IBstimulus_absent,null,null,13269.845
2,4,2,horizontal,horizontal,null,null,null,3374.835,null,null,null,null,null,above,IBstimulus_absent,null,null,7558.02
2,4,3,horizontal,horizontal,no,red,reportColor,3476.58,4947.81,9473.76,6440.47,5070.665,5760.59,above,IBstimulus_present,red,right,38390.23
2,5,0,vertical,horizontal,null,null,null,2361.97,null,null,null,null,null,below,IBstimulus_absent,null,null,6787.585
2,5,1,horizontal,horizontal,null,null,null,1789.885,null,null,null,null,null,above,IBstimulus_absent,null,null,5333.71
2,5,2,vertical,vertical,null,null,null,1240.695,null,null,null,null,null,below,IBstimulus_absent,null,null,7656.225
2,5,3,horizontal,horizontal,yes,red,reportColor,1441.295,3030.645,861.82,2555.015,2460.695,3723.94,above,IBstimulus_present,red,right,16775.37
2,6,0,vertical,vertical,null,null,null,7275.02,null,null,null,null,null,above,IBstimulus_absent,null,null,12649.695
2,6,1,vertical,vertical,null,null,null,3608.88,null,null,null,null,null,above,IBstimulus_absent,null,null,7547.965
