batchNum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
1,219,1,horizontal,horizontal,null,null,null,1455.31,null,null,null,null,null,above,IBstimulus_absent,null,null,5880.08
1,219,2,vertical,vertical,null,null,null,5419.965,null,null,null,null,null,below,IBstimulus_absent,null,null,9785.085
1,219,3,vertical,vertical,no,blue,reportColor,2464.565,3767.265,12722.22,3965.25,7432.195,4754.57,below,IBstimulus_present,red,left,39094.12
1,220,0,vertical,vertical,null,null,null,3487.99,null,null,null,null,null,below,IBstimulus_absent,null,null,11136.19
1,220,1,vertical,vertical,null,null,null,4659.655,null,null,null,null,null,below,IBstimulus_absent,null,null,10599.9
1,220,2,horizontal,horizontal,null,null,null,2151.68,null,null,null,null,null,above,IBstimulus_absent,null,null,7471.82
1,220,3,vertical,vertical,no,blue,reportColor,2069.32,5728.405,9691.37,6780.63,3294.225,7835.575,above,IBstimulus_absent,null,null,40330.115
1,221,0,horizontal,horizontal,null,null,null,2860.5,null,null,null,null,null,below,IBstimulus_absent,null,null,8141.65
1,221,1,vertical,vertical,null,null,null,2795.175,null,null,null,null,null,above,IBstimulus_absent,null,null,8437.28
1,221,2,vertical,vertical,null,null,null,1505.645,null,null,null,null,null,above,IBstimulus_absent,null,null,4557.36
1,221,3,vertical,vertical,yes,blue,reportColor,1626.525,2865.27,1438.135,4088.535,3531.49,3860.13,above,IBstimulus_present,blue,left,24379.95
1,222,0,horizontal,horizontal,null,null,null,4035.245,null,null,null,null,null,above,IBstimulus_absent,null,null,11038.145
1,222,1,vertical,vertical,null,null,null,2299.895,null,null,null,null,null,below,IBstimulus_absent,null,null,6691.99
1,222,2,horizontal,horizontal,null,null,null,1442.325,null,null,null,null,null,below,IBstimulus_absent,null,null,4859.45
1,222,3,horizontal,horizontal,yes,red,reportColor,3644.4,2472.59,2813.185,6515.025,3488.725,3692.1,above,IBstimulus_present,red,right,27771.63
1,223,0,vertical,vertical,null,null,null,5138.945,null,null,null,null,null,above,IBstimulus_absent,null,null,12116.305
1,223,1,vertical,vertical,null,null,null,5143.62,null,null,null,null,null,above,IBstimulus_absent,null,null,11667.955
1,223,2,vertical,horizontal,null,null,null,9217.01,null,null,null,null,null,above,IBstimulus_absent,null,null,13638.645
1,223,3,horizontal,horizontal,yes,red,reportColor,9545.93,3807.565,10151.4,5239.465,6703.74,4303.325,below,IBstimulus_present,red,right,43529.385
1,224,0,horizontal,horizontal,null,null,null,3675.685,null,null,null,null,null,above,IBstimulus_absent,null,null,11494.06
1,224,1,horizontal,horizontal,null,null,null,2305.16,null,null,null,null,null,above,IBstimulus_absent,null,null,5541.56
1,224,2,vertical,vertical,null,null,null,1596.6,null,null,null,null,null,above,IBstimulus_absent,null,null,6487.445
1,224,3,vertical,vertical,no,blue,reportColor,1927.82,7279.71,10351.685,16911.825,3767.785,6471.86,above,IBstimulus_absent,null,null,49981.52
1,225,0,vertical,vertical,null,null,null,5852,null,null,null,null,null,above,IBstimulus_absent,null,null,11138
1,225,1,horizontal,horizontal,null,null,null,1912,null,null,null,null,null,above,IBstimulus_absent,null,null,10775
1,225,2,horizontal,horizontal,null,null,null,1879,null,null,null,null,null,above,IBstimulus_absent,null,null,5332
1,225,3,vertical,vertical,yes,red,reportColor,1554,5207,2716,5361,2896,3883,above,IBstimulus_present,red,right,24969
1,226,0,horizontal,horizontal,null,null,null,4787.2,null,null,null,null,null,below,IBstimulus_absent,null,null,10924.725
1,226,1,horizontal,horizontal,null,null,null,2370.285,null,null,null,null,null,below,IBstimulus_absent,null,null,6953.9
1,226,2,horizontal,horizontal,null,null,null,2312.635,null,null,null,null,null,below,IBstimulus_absent,null,null,5553.39
1,226,3,vertical,vertical,yes,blue,reportColor,3068.175,6597.965,16382.94,7563.05,4701.04,6880.075,below,IBstimulus_present,blue,left,48771.595
1,227,0,vertical,horizontal,null,null,null,4327.96,null,null,null,null,null,below,IBstimulus_absent,null,null,11672.555
1,227,1,vertical,vertical,null,null,null,2439.47,null,null,null,null,null,above,IBstimulus_absent,null,null,10280.98
1,227,2,vertical,vertical,null,null,null,3814.085,null,null,null,null,null,below,IBstimulus_absent,null,null,13143.9
1,227,3,horizontal,horizontal,no,blue,reportColor,3067.035,7130.49,9550.33,7343.47,5521.23,8124.91,above,IBstimulus_present,red,left,44472.98
1,228,0,vertical,vertical,null,null,null,3390.545,null,null,null,null,null,above,IBstimulus_absent,null,null,10833.93
1,228,1,vertical,vertical,null,null,null,2127.66,null,null,null,null,null,below,IBstimulus_absent,null,null,10277.12
