batchNum,subjectID ,IBfamiliarity,age,ishihara,experimentName,path,browserName,browserInfo,displayWindowHeight,displayWindowWidth,displayScreenHeight,displayScreenWidth,totalTime,date,comments,prolificPID,studyID,sessionID
1,0,no,53,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,864,1536,864,1536,90295.21,1/4/21,,598a37f8efe76a00018ea9fe,5ff389f5e66d7f9a8bc66a89,5ff39e94e6b2819fd36a0217
1,1,no,58,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1366,768,1366,152160.64,1/4/21,none,5c9950eabfe4c70017b2c451,5ff389f5e66d7f9a8bc66a89,5ff398c6a53c579d6e2e7552
1,2,yes,38,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,900,1440,900,1440,91647.07,1/4/21,,5f27835438b9f85a6b9ebdb4,5ff389f5e66d7f9a8bc66a89,5ff3976630cadf1bb6ff3117
1,3,yes,26,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,731,1300,731,1300,234222.885,1/4/21,5f9f6e40ea7f965ca33bf97f,5f9f6e40ea7f965ca33bf97f,5ff389f5e66d7f9a8bc66a89,5ff3a163e66d7f9ed5a84ec2
1,4,yes,30,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,864,1536,864,1536,78957.36,1/4/21,,5e6530aeb92c25000c0ed7d7,5ff389f5e66d7f9a8bc66a89,5ff399660538db4ee83a02dc
1,5,yes,18,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,900,1440,900,1440,82774.375,1/4/21,,5ed85eb895f9d03704c67e21,5ff389f5e66d7f9a8bc66a89,5ff3a1631f2ef99d16d1a225
1,6,no,18,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,90592.395,1/4/21,,5c4534332b1bda0001f5791f,5ff389f5e66d7f9a8bc66a89,5ff394f951617797c3255120
1,7,yes,29,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,148,1920,1080,1920,69521,1/4/21,,5f2de2cafce6c013fe8dda9b,5ff389f5e66d7f9a8bc66a89,5ff39fb9f4e2339d38f47951
1,8,no,20,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Safari,605,900,1440,900,1440,197000,1/4/21,,5edec65ed5e2a91658c74ee5,5ff389f5e66d7f9a8bc66a89,5ff39ca0fd725a9fec544d90
1,9,yes,18,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,82425.475,1/4/21,,5faedfe2f1bb8b0b718ad9ca,5ff389f5e66d7f9a8bc66a89,5ff399e2a53c579cfa60110d
1,10,no,43,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,148,1920,1080,1920,86530,1/4/21,,5bf31e39f757c2000130e8ee,5ff389f5e66d7f9a8bc66a89,5ff39bffbbdf7f9c33ef2a0d
1,11,no,27,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,146,1536,864,1536,128877,1/4/21,,5f533cca31bf350009c01ac1,5ff389f5e66d7f9a8bc66a89,5ff3a28ebaa7c4a0ee691812
1,12,no,20,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,55198.57,1/4/21,,5f112ff34bd17349da319e7c,5ff389f5e66d7f9a8bc66a89,5ff39c2430cadf1b4350f4a8
1,13,no,42,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,80,768,1366,768,1366,124659.485,1/4/21,,5de79e713cf27970edc23950,5ff389f5e66d7f9a8bc66a89,5ff3a19ce44df49e5a70487e
1,14,,,,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Safari,604,1646,980,812,375,56400,1/4/21,,5dd60855a4aa265bc6a95ec6,5ff389f5e66d7f9a8bc66a89,5ff39f4e84b3a99e8f8493f5
