batchNum ,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
7,59,3,horizontal,horizontal,yes,red,reportColor,1397.19,2781.815,2321.605,6151.86,3222.805,3921.735,below,IBstimulus_present,red,left,22455.27
7,60,0,horizontal,vertical,null,null,null,6984,null,null,null,null,null,above,IBstimulus_absent,null,null,12613
7,60,1,horizontal,horizontal,null,null,null,3216,null,null,null,null,null,above,IBstimulus_absent,null,null,7877
7,60,2,vertical,vertical,null,null,null,2136,null,null,null,null,null,above,IBstimulus_absent,null,null,6917
7,60,3,horizontal,horizontal,no,blue,reportColor,2971,6921,8763,5223,4336,5166,below,IBstimulus_present,red,right,39009
7,61,0,horizontal,horizontal,null,null,null,4752.985,null,null,null,null,null,below,IBstimulus_absent,null,null,12873.44
7,61,1,horizontal,horizontal,null,null,null,4908.73,null,null,null,null,null,below,IBstimulus_absent,null,null,11068.69
7,61,2,vertical,vertical,null,null,null,3969.36,null,null,null,null,null,above,IBstimulus_absent,null,null,8160
7,61,3,vertical,vertical,yes,blue,reportColor,3678.545,6480.08,7390.87,4135.88,4516.055,5847.325,above,IBstimulus_present,blue,left,35582.885
7,62,0,vertical,vertical,null,null,null,2528.31,null,null,null,null,null,below,IBstimulus_absent,null,null,7340.635
7,62,1,horizontal,horizontal,null,null,null,1660.39,null,null,null,null,null,below,IBstimulus_absent,null,null,5467.33
7,62,2,horizontal,horizontal,null,null,null,2076.72,null,null,null,null,null,above,IBstimulus_absent,null,null,5662.325
7,62,3,vertical,vertical,no,blue,reportColor,1621.975,3187.75,4598.88,3293.135,2668.575,4015.42,below,IBstimulus_absent,null,null,22520.47
7,63,0,vertical,vertical,null,null,null,3120.19,null,null,null,null,null,above,IBstimulus_absent,null,null,7356.37
7,63,1,vertical,vertical,null,null,null,1918.29,null,null,null,null,null,above,IBstimulus_absent,null,null,6862.33
7,63,2,vertical,vertical,null,null,null,1430.005,null,null,null,null,null,above,IBstimulus_absent,null,null,4244.85
7,63,3,horizontal,horizontal,yes,blue,reportColor,2819.19,4814.795,1919.155,6274.02,3584.35,4979.495,above,IBstimulus_present,blue,left,27065.495
7,64,0,vertical,vertical,null,null,null,3760.38,null,null,null,null,null,below,IBstimulus_absent,null,null,9564.925
7,64,1,vertical,vertical,null,null,null,2588.81,null,null,null,null,null,below,IBstimulus_absent,null,null,10516.145
7,64,2,horizontal,horizontal,null,null,null,1978.545,null,null,null,null,null,above,IBstimulus_absent,null,null,6172.195
7,64,3,vertical,vertical,yes,red,reportColor,2418.04,3230.31,4476.25,5124.745,4253.36,11267.955,above,IBstimulus_present,red,left,34907.245
7,65,0,horizontal,horizontal,null,null,null,2347.65,null,null,null,null,null,above,IBstimulus_absent,null,null,6931.785
7,65,1,vertical,vertical,null,null,null,1547.755,null,null,null,null,null,below,IBstimulus_absent,null,null,4969.42
7,65,2,vertical,vertical,null,null,null,1773.895,null,null,null,null,null,above,IBstimulus_absent,null,null,7209.385
7,65,3,vertical,vertical,no,blue,reportColor,1613.56,5749.09,6157.49,4512.975,3615.885,3832.63,above,IBstimulus_absent,null,null,28709.1
7,66,0,horizontal,horizontal,null,null,null,1826.545,null,null,null,null,null,below,IBstimulus_absent,null,null,6695.975
7,66,1,horizontal,horizontal,null,null,null,1149.525,null,null,null,null,null,above,IBstimulus_absent,null,null,4887.97
7,66,2,horizontal,horizontal,null,null,null,1729.75,null,null,null,null,null,above,IBstimulus_absent,null,null,4767.345
7,66,3,horizontal,vertical,no,blue,reportColor,1094.66,3984.49,6111.455,2577.34,2637.555,3135.18,below,IBstimulus_present,blue,right,22264.495
7,67,0,vertical,vertical,null,null,null,3812,null,null,null,null,null,below,IBstimulus_absent,null,null,14131
7,67,1,vertical,vertical,null,null,null,3422,null,null,null,null,null,above,IBstimulus_absent,null,null,14185
7,67,2,horizontal,horizontal,null,null,null,3132,null,null,null,null,null,above,IBstimulus_absent,null,null,6491
7,67,3,vertical,vertical,no,red,reportColor,2035,3968,7026,4626,3399,5833,above,IBstimulus_present,blue,right,30342
