batchNum,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
4,0,0,vertical,vertical,null,null,null,1848.715,null,null,null,null,null,above,IBstimulus_absent,null,null,8578.14
4,0,1,vertical,vertical,null,null,null,2652.08,null,null,null,null,null,above,IBstimulus_absent,null,null,6883.795
4,0,2,vertical,vertical,null,null,null,2143.055,null,null,null,null,null,above,IBstimulus_absent,null,null,5407.055
4,0,3,vertical,vertical,yes,red,reportColor,2546.59,4143.49,6647.89,7831.37,1496.22,2766.695,below,IBstimulus_present,red,right,28223.025
4,1,0,horizontal,horizontal,null,null,null,4027,null,null,null,null,null,below,IBstimulus_absent,null,null,11908
4,1,1,horizontal,horizontal,null,null,null,2252,null,null,null,null,null,above,IBstimulus_absent,null,null,5455
4,1,2,horizontal,horizontal,null,null,null,2404,null,null,null,null,null,below,IBstimulus_absent,null,null,5567
4,1,3,vertical,vertical,yes,blue,reportColor,2248,6415,2737,2167,3678,7888,above,IBstimulus_present,blue,right,28811
4,2,0,vertical,vertical,null,null,null,2439.315,null,null,null,null,null,above,IBstimulus_absent,null,null,13851.76
4,2,1,vertical,vertical,null,null,null,2188.53,null,null,null,null,null,below,IBstimulus_absent,null,null,6699.415
4,2,2,horizontal,horizontal,null,null,null,2285.39,null,null,null,null,null,above,IBstimulus_absent,null,null,6597.495
4,2,3,vertical,horizontal,yes,red,reportColor,6247.67,3142.555,1719.96,8238.025,4775.645,6023.075,below,IBstimulus_present,red,left,33968.63
4,3,0,horizontal,vertical,null,null,null,7786.4,null,null,null,null,null,above,IBstimulus_absent,null,null,12975.12
4,3,1,horizontal,horizontal,null,null,null,2931.78,null,null,null,null,null,below,IBstimulus_absent,null,null,7879.3
4,3,2,horizontal,horizontal,null,null,null,3379.52,null,null,null,null,null,above,IBstimulus_absent,null,null,9575.48
4,3,3,horizontal,horizontal,yes,blue,reportColor,2079.93,6639.525,10777.295,6227.63,3640.41,9384.97,above,IBstimulus_present,blue,left,43995.855
4,4,0,vertical,horizontal,null,null,null,3927.405,null,null,null,null,null,above,IBstimulus_absent,null,null,10664.205
4,4,1,horizontal,horizontal,null,null,null,2581.18,null,null,null,null,null,above,IBstimulus_absent,null,null,6434.595
4,4,2,horizontal,horizontal,null,null,null,2420.475,null,null,null,null,null,below,IBstimulus_absent,null,null,5773.13
4,4,3,horizontal,horizontal,no,blue,reportColor,1493.52,4325.785,10160.97,6849.555,4578.81,4956.77,above,IBstimulus_absent,null,null,35242.195
4,5,0,vertical,vertical,null,null,null,4936.7,null,null,null,null,null,above,IBstimulus_absent,null,null,11407.76
4,5,1,vertical,vertical,null,null,null,1929.895,null,null,null,null,null,above,IBstimulus_absent,null,null,6573.58
4,5,2,vertical,vertical,null,null,null,1909.025,null,null,null,null,null,below,IBstimulus_absent,null,null,6884.79
4,5,3,vertical,vertical,yes,blue,reportColor,4089.765,3309.935,4296.1,4644.88,14044.17,4116.36,below,IBstimulus_present,blue,right,38081.64
4,6,0,vertical,vertical,null,null,null,4404.08,null,null,null,null,null,above,IBstimulus_absent,null,null,16317.345
4,6,1,horizontal,horizontal,null,null,null,4163.425,null,null,null,null,null,above,IBstimulus_absent,null,null,13826.31
4,6,2,vertical,vertical,null,null,null,3717.925,null,null,null,null,null,above,IBstimulus_absent,null,null,9094.36
4,6,3,horizontal,horizontal,yes,blue,reportColor,3707.765,10223.105,15063.525,7751.445,6064.005,11950.535,below,IBstimulus_absent,null,null,59092.525
4,7,0,vertical,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
4,7,1,vertical,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
4,7,2,vertical,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
4,7,3,vertical,null,null,null,reportColor,null,null,null,null,null,null,below,IBstimulus_present,red,left,
4,8,0,horizontal,horizontal,null,null,null,4268.08,null,null,null,null,null,below,IBstimulus_absent,null,null,12340.98
4,8,1,vertical,vertical,null,null,null,3654.04,null,null,null,null,null,above,IBstimulus_absent,null,null,7879.935
