batchNum,subjectID ,IBfamiliarity,age,ishihara,experimentName,path,browserName,browserInfo,displayWindowHeight,displayWindowWidth,displayScreenHeight,displayScreenWidth,totalTime,date,comments,prolificPID,studyID,sessionID
4,0,yes,23,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1050,1680,1050,1680,72967.81,1/7/21,,5f038dc85819b15b08840dfd,5ff77599f676e943cc9f19fd,5ff78cbf864f6747d6738a51
4,1,yes,35,0,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,800,1280,800,1280,71378.5,1/7/21,"none

",5c78b032419dcc0014119082,5ff77599f676e943cc9f19fd,5ff77ff551c2ff467d0b2d44
4,2,no,27,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,84,900,1440,900,1440,91893.31,1/7/21,,5f51135fd3e0342eda5f66c5,5ff77599f676e943cc9f19fd,5ff7841d1e00ca46f2211d59
4,3,yes,59,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,900,1440,900,1440,106101.45,1/7/21,fun!,5f6553322cb2880be0850e57,5ff77599f676e943cc9f19fd,5ff78cb648090e465280ebef
4,4,yes,26,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,86983.295,1/7/21,,5fc172a738a7aa2009df3f3f,5ff77599f676e943cc9f19fd,5ff7890116269f47daa777e1
4,5,no,33,4,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,640,1116,768,1366,663865.615,1/7/21,,5defe76ec33cea000b6cb8e1,5ff77599f676e943cc9f19fd,5ff78eda71ad564858856d5f
4,6,yes,56,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,786,1397,786,1397,152790.61,1/7/21,,5e1e42f5ed7a201a239d2584,5ff77599f676e943cc9f19fd,5ff782d6a80252472ea9c826
4,7,,,,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Safari,604,1693,980,896,414,43895,1/7/21,,5c80509e0fa63e0016630785,5ff77599f676e943cc9f19fd,5ff78f4e84079f462ed089de
4,8,no,58,48,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1366,768,1366,85256.58,1/7/21,"thank you so much 
",5a6b3ffee70ca900017ab423,5ff77599f676e943cc9f19fd,5ff7858856bc43472b00ab8e
4,9,,,,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,701,360,701,360,16642.6,1/7/21,,5f9197e7ddb45101595fa2ce,5ff77599f676e943cc9f19fd,5ff78fbb280f9d48a5c84612
4,10,yes,40,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1366,768,1366,86174.365,1/7/21,,5b476e05f2c50b0001a70e60,5ff77599f676e943cc9f19fd,5ff78b32d9ba2e471ff3d1c6
4,11,yes,34,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,720,1280,720,1280,105774.23,1/7/21,,5bf465a2f35e0c00010178af,5ff77599f676e943cc9f19fd,5ff78dcef9048647a65d56c9
4,12,yes,19,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,776,1380,853,1517,94993.065,1/7/21,sumbit,5ed155b4b6ee6f08dafad783,5ff77599f676e943cc9f19fd,5ff790043c7779473c582e8d
4,13,,,,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,782,412,782,412,59358.7,1/7/21,,5f970d4552da08066b26476b,5ff77599f676e943cc9f19fd,5ff77d38427939456e8cd4ad
4,14,yes,47,43,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,146,1536,864,1536,100444,1/7/21,,5f45d1fbf91d731f8830ed99,5ff77599f676e943cc9f19fd,5ff78bc0d2e204470e05a432
4,15,no,29,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,864,1536,864,1536,93128.42,1/7/21,Thanks!,5c7cf8b58ca9000001b52f6e,5ff77599f676e943cc9f19fd,5ff78a7950f436486b00a0ea
4,16,yes,23,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,720,1280,720,1280,85859.55,1/7/21,submit,5d2df9a7276bbc00190ffd56,5ff77599f676e943cc9f19fd,5ff7891dcf35e247b81845a6
4,17,no,30,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,864,1536,864,1536,125130.115,1/7/21,,5ec90339ce75e23f70107455,5ff77599f676e943cc9f19fd,5ff77adde423b645d697e21b
4,18,no,37,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,800,1280,800,1280,103359.59,1/7/21,,5cbc071f2edc3b00018ab097,5ff77599f676e943cc9f19fd,5ff78ff9584ecf48df491c07
4,19,no,19,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,649,1366,768,1366,85942.115,1/7/21,,5f48aadb6432ef37397408ca,5ff77599f676e943cc9f19fd,5ff78d2a326eb6491fbd35a7
4,20,yes,22,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,148,1920,1080,1920,120871,1/7/21,,5e6e934d03295045025cfbe7,5ff77599f676e943cc9f19fd,5ff78ec066382e48ccc482db
4,21,no,27,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,22,1920,1080,1920,97266,1/7/21,,5eeabd64b6469c00094ff6b9,5ff77599f676e943cc9f19fd,5ff78eda67b34c44a5550722
4,22,no,32,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,148,1920,1080,1920,167655,1/7/21,,5ceee05cba80f00017f0a91e,5ff77599f676e943cc9f19fd,5ff78337d9ba2e4576ce71a9
4,23,no,49,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1366,768,1366,102213.92,1/7/21,I hope your study goes well.,5e8cd8011a88ad08f181eb96,5ff77599f676e943cc9f19fd,5ff78fd44368b84819ea3950
4,24,no,30,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,77,1050,1680,1050,1680,115938.825,1/7/21,,5e050b28c76aa6f62aa71c50,5ff77599f676e943cc9f19fd,5ff78d8e1da68848c65a860a
4,25,no,55,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1024,768,1024,286819.16,1/7/21,Study Was Rather Enjoyable.,5c29b88810677f0001dc2c56,5ff77599f676e943cc9f19fd,5ff78cada4931648a9dfa3c9
4,26,yes,28,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,62892.085,1/7/21,,5ec453f93ba6b432bdf01d58,5ff77599f676e943cc9f19fd,5ff784685a306346ac47f564
4,27,yes,19,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,864,1536,864,1536,65986.77,1/7/21,,5e4b3986abf3f805394187de,5ff77599f676e943cc9f19fd,5ff786b4ab5b5b4702eabbb7
