batchNum,subjectID ,IBfamiliarity,age,ishihara,experimentName,path,browserName,browserInfo,displayWindowHeight,displayWindowWidth,displayScreenHeight,displayScreenWidth,totalTime,date,comments,prolificPID,studyID,sessionID
3,0,no,32,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,67811.13,1/6/21,,58eebeda52ac63000154a5e2,5ff5de97a4cb3f0ae2dd47e8,5ff603168573f011ef1e4438
3,1,yes,32,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1366,768,1366,204527.7,1/6/21,,594a9305647e0600014f7c3d,5ff5de97a4cb3f0ae2dd47e8,5ff6033c83b75812fb606814
3,2,no,42,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,84,768,1366,768,1366,226886.5,1/6/21,,5be82c2e33f40a0001031b70,5ff5de97a4cb3f0ae2dd47e8,5ff603b851c2ff12686c43bf
3,3,yes,35,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1366,768,1366,105469.2,1/6/21,"none
 
",5bc6040e8d83e10001724881,5ff5de97a4cb3f0ae2dd47e8,5ff5f86b1ef9091095ba5c72
3,4,no,59,4,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1024,1280,1024,1280,149263.66,1/6/21,,5e920ad180280554256ff9e8,5ff5de97a4cb3f0ae2dd47e8,5ff602efcf35e211facfe8c9
3,5,yes,53,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,148,1600,900,1600,156570,1/6/21,,5f0b33e16edeb5429793f878,5ff5de97a4cb3f0ae2dd47e8,5ff6022f42793912f23d3aeb
3,6,yes,25,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,82629.62,1/6/21,,5b4ccba2e893120001247e9e,5ff5de97a4cb3f0ae2dd47e8,5ff602a0461d9912e322e56f
3,7,yes,38,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,148,1366,768,1366,130356,1/6/21,,5fc38f2e5af10c65f0c0f458,5ff5de97a4cb3f0ae2dd47e8,5ff603abd63e9112d8343591
3,8,yes,43,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,100733.785,1/6/21,fun!,5f7be266f815c41ddae15d1e,5ff5de97a4cb3f0ae2dd47e8,5ff602d29481df121c2f568f
3,9,no,29,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1000,1600,800,1280,78639.725,1/6/21,,5dc1eb838a84461511b3cd73,5ff5de97a4cb3f0ae2dd47e8,5ff5f8ba56bc4310a0e818c8
3,10,no,40,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1366,768,1366,66146.34,1/6/21,,5f8649499004b619735d4b8f,5ff5de97a4cb3f0ae2dd47e8,5ff5fc76ebc3bd1188fb10bf
3,11,yes,53,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,80,1152,2048,1152,2048,96661.535,1/6/21,,5d88f2f8cefb52001a83f1b2,5ff5de97a4cb3f0ae2dd47e8,5ff603f82e30bf12755d2ec4
3,12,no,22,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,67143.04,1/6/21,,5f91f8ec88e2e90f501e72e6,5ff5de97a4cb3f0ae2dd47e8,5ff600e3745cf6127b4506ff
3,13,no,54,4,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1080,1920,1080,1920,86045.61,1/6/21,,5ccf068db0778600017d96d7,5ff5de97a4cb3f0ae2dd47e8,5ff5fca6d136651181fad446
3,14,yes,27,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,768,1366,768,1366,105411.87,1/6/21,,5fac61bac70efc22eff10374,5ff5de97a4cb3f0ae2dd47e8,5ff5fe1403510f11ed8ff444
3,15,no,21,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Firefox,84,22,1920,1080,1920,62709,1/6/21,,5de7f38c0e586676865ec7da,5ff5de97a4cb3f0ae2dd47e8,5ff5fcd53fabda12817107fa
3,16,no,23,42,"2AFC IB Experiment - Mack and Rock, 4 Trials, Gray Background, Isoluminant Red or Blue Line Left/Right, Report Color",https://www.mn.perceptionresearch.org/IB_MackRock/E3,Chrome,87,1024,1280,1024,1280,57311.715,1/6/21,,5f3810bc8049e40ad7b6909a,5ff5de97a4cb3f0ae2dd47e8,5ff6011a4368b812835af293
