batchNum,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
3,125,1,horizontal,horizontal,null,null,null,2467.82,null,null,null,null,null,below,IBstimulus_absent,null,null,14478.62
3,125,2,horizontal,horizontal,null,null,null,2861.065,null,null,null,null,null,above,IBstimulus_absent,null,null,7174.6
3,125,3,vertical,vertical,yes,blue,reportColor,1781.495,8048.19,7611.655,5353.925,3560.33,5380.095,below,IBstimulus_present,blue,right,35159.645
3,126,0,horizontal,null,null,null,null,null,null,null,null,null,null,above,IBstimulus_absent,null,null,
3,126,1,vertical,null,null,null,null,null,null,null,null,null,null,above,IBstimulus_absent,null,null,
3,126,2,horizontal,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
3,126,3,vertical,null,null,null,reportColor,null,null,null,null,null,null,above,IBstimulus_present,blue,right,
3,127,0,horizontal,horizontal,null,null,null,2925,null,null,null,null,null,below,IBstimulus_absent,null,null,9696
3,127,1,horizontal,horizontal,null,null,null,1776,null,null,null,null,null,above,IBstimulus_absent,null,null,6154
3,127,2,horizontal,horizontal,null,null,null,2082,null,null,null,null,null,above,IBstimulus_absent,null,null,7006
3,127,3,horizontal,horizontal,yes,blue,reportColor,7185,3116,4702,4814,2711,5771,above,IBstimulus_present,blue,left,32777
3,128,0,vertical,vertical,null,null,null,2348.48,null,null,null,null,null,below,IBstimulus_absent,null,null,17685.21
3,128,1,horizontal,horizontal,null,null,null,1425.03,null,null,null,null,null,above,IBstimulus_absent,null,null,7404.815
3,128,2,horizontal,horizontal,null,null,null,1651.83,null,null,null,null,null,below,IBstimulus_absent,null,null,5423.1
3,128,3,horizontal,horizontal,yes,blue,reportColor,1520.945,4407.92,7087.24,4768.115,3287.775,7527.855,above,IBstimulus_present,blue,left,32079.93
3,129,0,horizontal,horizontal,null,null,null,5460.7,null,null,null,null,null,below,IBstimulus_absent,null,null,9963.515
3,129,1,vertical,vertical,null,null,null,2489.175,null,null,null,null,null,above,IBstimulus_absent,null,null,7318.61
3,129,2,vertical,horizontal,null,null,null,1723.35,null,null,null,null,null,above,IBstimulus_absent,null,null,5531.305
3,129,3,vertical,vertical,yes,red,reportColor,1877.03,2469.29,1528.345,4138.315,2318.555,2873.78,above,IBstimulus_present,red,left,19514.11
3,130,0,vertical,vertical,null,null,null,4293.785,null,null,null,null,null,above,IBstimulus_absent,null,null,10594.74
3,130,1,horizontal,horizontal,null,null,null,2429.26,null,null,null,null,null,below,IBstimulus_absent,null,null,6232.63
3,130,2,horizontal,horizontal,null,null,null,2900.42,null,null,null,null,null,below,IBstimulus_absent,null,null,6390.34
3,130,3,horizontal,horizontal,yes,blue,reportColor,3141.565,3639.555,5804.735,8276.39,2953.075,6080.755,above,IBstimulus_present,blue,left,33423.63
3,131,0,horizontal,horizontal,null,null,null,10956,null,null,null,null,null,above,IBstimulus_absent,null,null,20475
3,131,1,horizontal,horizontal,null,null,null,4724,null,null,null,null,null,below,IBstimulus_absent,null,null,9491
3,131,2,horizontal,vertical,null,null,null,4760,null,null,null,null,null,above,IBstimulus_absent,null,null,8224
3,131,3,horizontal,horizontal,no,blue,reportColor,4367,7444,16401,84998,8480,10071,below,IBstimulus_absent,null,null,135175
3,132,0,horizontal,horizontal,null,null,null,2414.035,null,null,null,null,null,above,IBstimulus_absent,null,null,9403.475
3,132,1,horizontal,horizontal,null,null,null,2183.555,null,null,null,null,null,below,IBstimulus_absent,null,null,5480.99
3,132,2,vertical,vertical,null,null,null,1786.34,null,null,null,null,null,below,IBstimulus_absent,null,null,4621.425
3,132,3,horizontal,horizontal,yes,blue,reportColor,2241.135,4046.3,3275.82,4641.5,3717.475,4744.355,below,IBstimulus_present,blue,left,26433.52
3,133,0,vertical,vertical,null,null,null,2202.05,null,null,null,null,null,below,IBstimulus_absent,null,null,7090.46
3,133,1,horizontal,horizontal,null,null,null,1686.975,null,null,null,null,null,below,IBstimulus_absent,null,null,6707.015
3,133,2,horizontal,horizontal,null,null,null,1488.885,null,null,null,null,null,below,IBstimulus_absent,null,null,4610.02
3,133,3,horizontal,horizontal,no,red,reportColor,1956.725,3015.89,9796.35,7131.015,4804.455,4568.11,below,IBstimulus_absent,null,null,34154.455
3,134,0,horizontal,horizontal,null,null,null,3436.36,null,null,null,null,null,below,IBstimulus_absent,null,null,10618.575
3,134,1,horizontal,horizontal,null,null,null,1809.23,null,null,null,null,null,above,IBstimulus_absent,null,null,10686.885
3,134,2,horizontal,horizontal,null,null,null,2377.99,null,null,null,null,null,below,IBstimulus_absent,null,null,5433.83
3,134,3,vertical,vertical,yes,red,reportColor,2218.77,7950.945,5208.24,5679.005,8246.045,5111.61,above,IBstimulus_present,red,right,37617.91
3,135,0,horizontal,horizontal,null,null,null,3908.795,null,null,null,null,null,below,IBstimulus_absent,null,null,10534.27
3,135,1,vertical,vertical,null,null,null,20694.8,null,null,null,null,null,above,IBstimulus_absent,null,null,25669.185
3,135,2,vertical,vertical,null,null,null,1638.505,null,null,null,null,null,below,IBstimulus_absent,null,null,6334.615
