batchNum,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
5,0,0,vertical,vertical,null,null,null,5209.25,null,null,null,null,null,above,IBstimulus_absent,null,null,15379.48
5,0,1,vertical,vertical,null,null,null,3961.53,null,null,null,null,null,above,IBstimulus_absent,null,null,8230.63
5,0,2,vertical,vertical,null,null,null,2126.23,null,null,null,null,null,above,IBstimulus_absent,null,null,39397.675
5,0,3,vertical,vertical,yes,blue,reportColor,2013.61,5834.155,13773.715,6029.71,3654.53,5362.095,above,IBstimulus_present,red,right,40392.015
5,1,0,vertical,vertical,null,null,null,3330,null,null,null,null,null,below,IBstimulus_absent,null,null,11855
5,1,1,horizontal,horizontal,null,null,null,2801,null,null,null,null,null,above,IBstimulus_absent,null,null,7470
5,1,2,vertical,vertical,null,null,null,2703,null,null,null,null,null,above,IBstimulus_absent,null,null,6385
5,1,3,vertical,vertical,no,red,reportColor,3596,5804,9042,4119,3716,5869,above,IBstimulus_present,blue,right,35675
5,2,0,horizontal,horizontal,null,null,null,3385.715,null,null,null,null,null,below,IBstimulus_absent,null,null,12503.455
5,2,1,horizontal,horizontal,null,null,null,1815.36,null,null,null,null,null,below,IBstimulus_absent,null,null,17526.955
5,2,2,vertical,vertical,null,null,null,1475.42,null,null,null,null,null,below,IBstimulus_absent,null,null,5903.175
5,2,3,horizontal,horizontal,yes,red,reportColor,1389.585,5326.43,8103.795,7229.83,3552.39,7725.64,below,IBstimulus_present,red,left,37348.795
5,3,0,horizontal,horizontal,null,null,null,2454.72,null,null,null,null,null,below,IBstimulus_absent,null,null,13204.76
5,3,1,vertical,vertical,null,null,null,1699.365,null,null,null,null,null,below,IBstimulus_absent,null,null,6888.305
5,3,2,vertical,vertical,null,null,null,1550.56,null,null,null,null,null,below,IBstimulus_absent,null,null,5316.47
5,3,3,vertical,vertical,yes,red,reportColor,1523.58,4821.495,2099.67,5887.37,3556.115,3598.74,above,IBstimulus_present,red,right,25077.94
5,4,0,vertical,vertical,null,null,null,5002.715,null,null,null,null,null,above,IBstimulus_absent,null,null,10864.225
5,4,1,horizontal,horizontal,null,null,null,3075.91,null,null,null,null,null,below,IBstimulus_absent,null,null,11354.78
5,4,2,vertical,vertical,null,null,null,2776.325,null,null,null,null,null,below,IBstimulus_absent,null,null,6058.89
