batchNum,subjectIDCum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
5,1322,55,3,horizontal,vertical,yes,red,reportColor,3884.23,2761.225,4396.295,5673.705,3449.905,37709.245,above,IBstimulus_present,red,left,60889.035
5,1323,56,0,horizontal,horizontal,null,null,null,2373,null,null,null,null,null,above,IBstimulus_absent,null,null,11307
5,1323,56,1,vertical,vertical,null,null,null,2614,null,null,null,null,null,above,IBstimulus_absent,null,null,7462
5,1323,56,2,horizontal,horizontal,null,null,null,2587,null,null,null,null,null,above,IBstimulus_absent,null,null,7178
5,1323,56,3,vertical,vertical,yes,red,reportColor,4474,4360,5764,6119,4076,4246,above,IBstimulus_present,red,left,32924
5,1324,57,0,horizontal,horizontal,null,null,null,2498.95,null,null,null,null,null,below,IBstimulus_absent,null,null,8081.64
5,1324,57,1,vertical,vertical,null,null,null,2435.13,null,null,null,null,null,above,IBstimulus_absent,null,null,7435.865
5,1324,57,2,horizontal,horizontal,null,null,null,1904.53,null,null,null,null,null,above,IBstimulus_absent,null,null,5741.45
5,1324,57,3,vertical,vertical,no,blue,reportColor,2515.845,16287.89,6300.205,3558.465,3206.88,3486.63,above,IBstimulus_absent,null,null,38416.34
5,1325,58,0,vertical,vertical,null,null,null,5337.475,null,null,null,null,null,below,IBstimulus_absent,null,null,10207.63
5,1325,58,1,vertical,vertical,null,null,null,2055.825,null,null,null,null,null,above,IBstimulus_absent,null,null,5607.48
5,1325,58,2,horizontal,horizontal,null,null,null,1572.305,null,null,null,null,null,below,IBstimulus_absent,null,null,4533.325
5,1325,58,3,horizontal,horizontal,no,red,reportColor,2224.1,5786.615,11174.075,15240.785,4201.365,5482.225,above,IBstimulus_absent,null,null,46837.195
5,1326,59,0,horizontal,horizontal,null,null,null,3823,null,null,null,null,null,above,IBstimulus_absent,null,null,15713
5,1326,59,1,horizontal,horizontal,null,null,null,2769,null,null,null,null,null,above,IBstimulus_absent,null,null,21852
5,1326,59,2,horizontal,horizontal,null,null,null,3565,null,null,null,null,null,below,IBstimulus_absent,null,null,6931
5,1326,59,3,vertical,vertical,no,blue,reportColor,3386,4721,8595,4684,4330,4548,above,IBstimulus_present,red,right,34430
5,1327,60,0,vertical,vertical,null,null,null,2239.125,null,null,null,null,null,below,IBstimulus_absent,null,null,6836.01
5,1327,60,1,horizontal,horizontal,null,null,null,1894.845,null,null,null,null,null,below,IBstimulus_absent,null,null,6336.535
5,1327,60,2,horizontal,horizontal,null,null,null,1469.34,null,null,null,null,null,below,IBstimulus_absent,null,null,4339.275
5,1327,60,3,vertical,vertical,yes,blue,reportColor,2196.84,3564.94,4309.765,3211.25,3298.955,4045.785,below,IBstimulus_present,blue,right,27032.71
5,1328,61,0,horizontal,horizontal,null,null,null,5337.555,null,null,null,null,null,below,IBstimulus_absent,null,null,11759.315
5,1328,61,1,vertical,vertical,null,null,null,2028.075,null,null,null,null,null,above,IBstimulus_absent,null,null,9502.1
5,1328,61,2,vertical,vertical,null,null,null,1766.18,null,null,null,null,null,below,IBstimulus_absent,null,null,5919.86
5,1328,61,3,vertical,vertical,no,blue,reportColor,2141.81,4442.675,7808.855,9309.02,3039.43,21732.135,above,IBstimulus_absent,null,null,51900.36
5,1329,62,0,vertical,vertical,null,null,null,4839.175,null,null,null,null,null,below,IBstimulus_absent,null,null,12356.415
5,1329,62,1,vertical,vertical,null,null,null,4610.35,null,null,null,null,null,above,IBstimulus_absent,null,null,13356.685
5,1329,62,2,horizontal,horizontal,null,null,null,3746.275,null,null,null,null,null,below,IBstimulus_absent,null,null,7381.395
5,1329,62,3,vertical,vertical,no,blue,reportColor,3406.23,6326.865,17576.06,19607.08,5515.965,6191.865,below,IBstimulus_absent,null,null,61976.39
5,1330,63,0,vertical,vertical,null,null,null,2989.525,null,null,null,null,null,below,IBstimulus_absent,null,null,13132.305
5,1330,63,1,horizontal,horizontal,null,null,null,2157.845,null,null,null,null,null,below,IBstimulus_absent,null,null,11348.005
5,1330,63,2,horizontal,horizontal,null,null,null,2833.135,null,null,null,null,null,below,IBstimulus_absent,null,null,6623.045
5,1330,63,3,vertical,vertical,no,blue,reportColor,2908.815,7223.125,12742.98,10943.27,5175.275,7703.065,above,IBstimulus_present,blue,right,50501.055
5,1331,64,0,horizontal,horizontal,null,null,null,6742.745,null,null,null,null,null,above,IBstimulus_absent,null,null,14195.82
5,1331,64,1,vertical,vertical,null,null,null,2541.395,null,null,null,null,null,below,IBstimulus_absent,null,null,10688.03
5,1331,64,2,vertical,vertical,null,null,null,2316.545,null,null,null,null,null,above,IBstimulus_absent,null,null,124294.695
5,1331,64,3,vertical,vertical,no,red,reportColor,1816.255,4849.79,13067.575,8135.905,4006.345,4958.7,above,IBstimulus_present,red,left,40159.63
5,1332,65,0,horizontal,horizontal,null,null,null,2223.985,null,null,null,null,null,above,IBstimulus_absent,null,null,8271.58
5,1332,65,1,vertical,vertical,null,null,null,1087.61,null,null,null,null,null,above,IBstimulus_absent,null,null,5152.73
5,1332,65,2,vertical,vertical,null,null,null,1399.85,null,null,null,null,null,above,IBstimulus_absent,null,null,4685.96
5,1332,65,3,vertical,vertical,yes,red,reportColor,1809.935,4248.405,1717.665,2451.74,3905.485,2753.905,above,IBstimulus_present,red,left,19855.215
5,1333,66,0,vertical,vertical,null,null,null,4203.645,null,null,null,null,null,below,IBstimulus_absent,null,null,10779.475
5,1333,66,1,horizontal,horizontal,null,null,null,2235.325,null,null,null,null,null,above,IBstimulus_absent,null,null,9141.245
5,1333,66,2,horizontal,horizontal,null,null,null,2195.09,null,null,null,null,null,below,IBstimulus_absent,null,null,5689.94
5,1333,66,3,horizontal,horizontal,no,blue,reportColor,2407.24,4310.45,14433.585,7252.81,4311.05,5164.155,below,IBstimulus_present,red,left,41551.46
5,1334,67,0,vertical,vertical,null,null,null,3823,null,null,null,null,null,above,IBstimulus_absent,null,null,11548
5,1334,67,1,vertical,vertical,null,null,null,2816,null,null,null,null,null,below,IBstimulus_absent,null,null,6808
5,1334,67,2,vertical,vertical,null,null,null,3072,null,null,null,null,null,below,IBstimulus_absent,null,null,7421
